UUID,Categoria,Ragione Sociale,Indirizzo,Sito,e-mail,Telefono,Facebook ID,Facebook URL,Google Place URL,Google Place ID,Latitude,Longitude,Categoria catastale
79d14bc3-48aa-4704-8e8b-47408bfec26a,"",F.LLI ARIENTI SNC DI ARIENTI SERAFINO & C.,VIA TRINCEA DELLE FRASCH,,,0362/629814,"","","","","","",N Non Domestica 18 : ATTIVITA' ARTIGIANALI (BOTTEGHE:FALEGNAME-...)
d65c2665-0c27-43d2-b844-1fb6d77198c5,"",ESSELUNGA SPA,VIA CARAVAGGIO,www.esselunga.it,,Numero verde: 800-666555,"","","","","","",N Non Domestica 25 : SUPERMERCATI E GENERI ALIMENTARI
99336196-4a2b-43f1-9546-ea1b40499b81,"",IMPRESA EDILE MICELI GIUSEPPE & C. SNC,VIA DON LUIGI STURZO,, info@impresamiceli.it,0362/629196,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
93019ec4-7d7e-4628-b47f-795ec180e6ad,"",R.C.R. SRL,VIA DEL GUADO,www.rcrautoricambi.it,info@rcrautoricambi,0362/625481,"","","","","","",N Non Domestica 13 : NEGOZI (ABBIGLIAMENTO-CALZATURE-LIBRERIE-...)
0144bf3d-7f98-4dac-94b0-3f87b9560cee,"",MA.RI.DE.  DI PAGANI GIAMBATTISTA & C.,VIA XXV APRILE,,, 0362/626227,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
6dacd2ea-5b3e-4e82-9d1d-b67f8b96ad8e,"",IMPRESA FUNEBRE SPREAFICO EGIDIO D I GIANCARLO,VIA DIAZ,www.agenziafunebrespreafico.it,,"Tel: 0362/623763 
Cell: 335/7170480","","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
6879e371-b178-4c28-a62e-1f30440bb0f9,"",SACCHI GIUSEPPE S.P.A.,VIA FILIPPO DA DESIO,www.sacchi.it,sacchi@sacchi.it,0362/6351,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
c7fb40f6-fb8f-4704-9ce1-39150d46c85a,"",LA LOGISTICA BRIANTEA SAS DI CASTOLDI DANIEL,VIA ROSSINI,,,0362/307027,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
03bc4efc-d156-4b97-9261-5415c967b799,"",C.P.O. DISTRIBUZIONE SRL,VIA DEL COMMERCIO,www.cpodistribuzione.it,,0362/308769,"","","","","","",N Non Domestica 27 : ORTOFRUTTA-PESCHERIE-FIORI-PIZZA AL TAGLIO
62b7b581-f355-418a-9395-5b1f186f4496,"",FORMEL SRL,VIA MILANO,www.formelsrl.com,,0362/638085,"","","","","","",N Non Domestica 13 : NEGOZI (ABBIGLIAMENTO-CALZATURE-LIBRERIE-...)
66106124-9f6e-4901-90c0-6ed1b625730d,"",CRAS ELETTROMECCANICA S.R.L.,VIA LAVORATORI AUTOBIANCHI,,,0362/305996 -0362/331050,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
075168f3-4e87-4438-8830-0034d44463d1,"",UNES MAXI SPA,VIA VOLTA,www.unes.it,servizioclienti@unes.it,Numero verde: 800-316387,"","","","","","",N Non Domestica 25 : SUPERMERCATI E GENERI ALIMENTARI
fc1c9fad-5b84-4f0d-906a-e4fa26d88ea3,"",GASTRONOMICA MEDITERRANEA SRL,VIA DEL GUADO,,,0362/307059,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
7b8cb0b8-adbf-45b2-a2ac-d4773b0fe57e,"",PANETTERIA SENZA GLUTINE DI SANVITO MONICA,VIA VERCESI,,,0362/632882,"","","","","","",N Non Domestica 25 : SUPERMERCATI E GENERI ALIMENTARI
753f71e1-6dba-4f9f-905e-d85b8a648732,"",METROQUADRO IMMOBILIARE S.R.L.,VIA LAVORATORI AUTOBIANCHI,www.immobiliare.it,info@immobiliaremetroquadro.it,0583 316795/6,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
65b529a2-cfe8-4280-9cb1-27c992dae871,"",ISTITUTO DI VIGILANZA NOTTURNA CITTA' DI DESIO SRL,VIA DANTE,http://it.kompass.com,,0362/624690,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
1570016f-7c61-4154-8359-2421158f522b,"",I SAPORI DEI TORT DI TORTINI CLAUDIO & C. SAS,VIA CASE NUOVE,,,036/2626734,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
9c145b84-cd96-4032-b2e6-f63936c18d14,"",GEFIM SRL,VIA FORLANINI,www.gefim-holding.it,info@gefim-holding.it ,0362/306868,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
8753d2db-9959-478d-a3a4-e83d868a6164,"",ELETTRONICA BRIANZA S.R.L.,VIA VOLTA,www.elettronica-brianza.eu,info@elettronica-brianza.eu ,0362/1795611,"","","","","","",N Non Domestica 19 : CARROZZERIE-AUTOFFICINE-ELETTRAUTO
1eaf16c4-6912-4697-b061-cf13f32002e8,"",TRABATTONI GIORGIO,VIA GIOIA,,,0362/624290,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
b8bb1d69-646b-41a2-b10e-e1e5675e7ffb,"",KING METAL SRL,VIA FORLANINI,,,0362/624404,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
de861bf5-abcd-4140-9152-61eab3d892dc,"",EXTETA SRL,VIA LAVORATORI AUTOBIANCHI,www.exteta.it,info@exteta.it,0362/308095,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
d5f1b633-959c-467a-a9ef-b3f16f0d6b34,"",CENTRO CASA SNC DI GALLUCCIO E C.,VIA MILANO,,,0349/715 2816,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
13edb0ca-c4bc-430b-a622-229f5b0fd409,"",OPIS SRL,VIA VOLTA,www.opis-europe.com,"office@opis.it
office@opiseurope.com",0362/6331,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
4c5cf53d-d2af-4dd6-a635-2f9cf09aa993,"",NEGOZIO DI ABBIGLIAMENTO DI ORTOLANI SABRINA,VIA GARIBALDI,,,0362/301653,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
eaca6f8a-7b16-46ff-94b6-7d2a2cd98061,"",DIAMOND CONSULTING DI PAGANI MARCO TIZIANO,VIA NIZZA,,,,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
1e2ce900-7a3b-492e-b63a-8e5e8631240d,"",NUOVO CENTRO GIARDINAGGIO,VIA BINZAGO,www.gardenfriends.it,,0362/621359,"","","","","","",N Non Domestica 28 : IPERMERCATI DI GENERI MISTI
1db39aeb-a824-4360-91a2-c0c207b46fdd,"",SIDE COSTRUZIONI SRL,VIA TAGLIABUE,www.sidecostruzioni.it,sidecostruzioni@alice.it,339/8200725,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
9304302a-7672-4653-8432-bed1c74b5a63,"",COOPER TIRE & RUBBER COMPANY ITALIA S.R.L.,VIA DON LUIGI STURZO,,,0362/624089,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
4587aebd-1c6f-472e-af57-f044c12fb3e6,"",GI. DI. AUTOMAZIONE SAS DI CATTALDO DANILO E C.,VIA VOLTA,www.gidiautomazione.it,info@gidiautomazione.it,0362/1793043 ,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
c0e6cfa9-77e8-4c8f-8d25-14c049bc38bc,"",STUDIO COMMERCIALE VBA DI DR. ROLANDO BRAMBILLA E ASSOCIATI,VIA CARAVAGGIO,www.studiovba.com,STUDIOCOMMERCIALE@STUDIOVBA.COM,362/39191,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
8d773306-02af-4179-b882-0d053ae26d80,"",MAIL & EXPRESS SRL,VIA LAVORATORI AUTOBIAN,,,"0362/1790016
0362/630830","","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
ddedf4ff-d00b-4654-ad6d-c624de5ebb7f,"",RECUPERI E AUTODEMOLIZIONI S.R.L.,VIA MILANO,www.recuperieautodemolizioni.com,recuperieautodemolizioni@gmail.com,0362/628572,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
cf878cc0-5589-4e33-a556-e127d0ed5e56,"",P.S. VALERA SCAVI SRL,VIA FERRAVILLA,,,0362/450569,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
e58139dc-f6e1-406b-ba19-1dc574520537,"",SPOT LINE SRL,VIA XXV APRILE,www.spotline.it,"info@spotline.it
mike@spotline.it
franco@spotline.it",0362/1793839,"","","","","","",N Non Domestica 21 : ATT. ARTIGIANALI PRODUZIONE BENI SPECIFICI
4094fee1-ec72-4a1c-a7df-ee0ff7217734,"",SPEEDY B & B SRL,VIA LAVORATORI AUTOBIANCHI,www.speedyb.it,rent@speedyb.it,0362/367603,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
4fe5c29c-acd0-4af6-a8ef-9e7e6168422b,"",IL FORNAIO DI SECCHI G. E SIRONI,VIA VOLTA,,,0362/622135,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
b18feea0-337c-4f51-a98c-512827e01af4,"",P.R.S. ASSICURAZIONI SRL,VIA GARIBALDI,,,0362/302632,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
2a5cfe33-b24c-4e11-959d-5d2b697df646,"",GELATERIA CREMA E CIOCCOLATO DI PASSONI MARA,PIAZZA DON GIUSSANI,,,347/5527485,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
370bf085-6565-4ec6-94d4-9116802cc9e4,"",ONTHEROAD SRL,VIA MASCAGNI,www.rockontheroad.it,,0362/178 5819,"","","","","","",N Non Domestica 22 : RISTORANTI-TRATTORIE-OSTERIE-PIZZERIE-PUB
36eea0f9-866d-4299-acac-af2cb06e78df,"",GELSIA AMBIENTE S.R.L.,VIA CARAVAGGIO,www.gelsiambiente.it,"infoambiente@gelsia.it
ambiente@pec.gelsia.it",0362/2251,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
1d27b577-bf5c-41d3-a8e1-d03f3de461a9,"",BCUBE INDUSTRIAL SPA,VIA OSLAVIA,www.bcube.net,,0142/565600,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
223eabf9-b68c-4283-8866-77e114047a00,"",CAFFE' SELE SRL,VIA DON LUIGI STURZO,www.caffesele.com,,0362/621377,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
16ac8d4a-425f-47d7-810c-1944936a3d13,"",INDUSTRIA BRIANTEA FERRAMENTA MINUTERIE DI FUMAGALLI SRL,VIA LAVORATORI AUTOBIANCHI,www.ibfm.it,ibfm@ibfm.it ,0362/627078,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
95d7fa82-2aec-4551-82b7-f0de44fd72d5,"",BAR DI FOSSATI MARCO,VIA LEONARDO DA VINCI,www.torrefazionebrasilia.it,info@torrefazionebrasilia.it,0362/624267,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
be21edaf-5677-48ed-955b-531a7d47b997,"",WEALTH SRL,VIA LAVORATORI AUTOBIANCHI,www.wealth.it,,0362/638070,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
d3cc00e8-6abe-4332-8ee5-1f2c318fce1f,"",MAINT SYSTEM SRL,VIA ZANELLA,www.maintsystemsrl.com,info@maintsystemsrl.com,Sede: 0362/1542 261,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
8f3a7d46-fc3a-4d88-885d-7b6732df4557,"",GELSIA RETI SRL,VIA GIUSTI,www.retipiu.it,"info@pec.retipiu.it
info@retipiu.it",390/362637637,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
100af14f-041a-4b34-97b2-c7043ee82c45,"",FERRACCIAIO SRL,VIA LEONCAVALLO,,,,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
1700c219-e6bd-4ded-9e57-84c521d640a2,"",EDR SERVICE SRL,VIA BOZZI A.,www.edrservice.com,info@edrservice.it,0362/1785503,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
d47bdc91-3c32-4952-82e8-de96e4a6c08a,"",M.G.M. SPORT SRL,VIA SERAO,www.mgmsport.it,desio@mgmsport.it,362/304083,"","","","","","",N Non Domestica 24 : BAR-CAFFETTERIE-PASTICCERIE
0dff4f59-bd26-41f3-b7a4-97f445ef3e21,"",STAZIONE DI SERVIZIO TAMOIL DI MOR AMARCO GIA,VIA TAGLIABUE,www.tamoil.it,info@tamoil.com,02 268161    ,"","","","","","",N Non Domestica 24 : BAR-CAFFETTERIE-PASTICCERIE
31290d6d-d39b-4460-9940-2adcaf6042a4,"",SERVIZI & GESTIONI ITALIA SRL,VIA NUOVA VALASSINA,,,0362/620763,"","","","","","",N Non Domestica 04 : CAMPEGGI-DISTRIBUTORI CARBURANTI-IMPIANTI SPORTIVI
60e670ce-5f81-483e-9a7b-4d370166e711,"",M.B. CAR SNC,VIA FERRAVILLA,,,0362/337110,"","","","","","",N Non Domestica 19 : CARROZZERIE-AUTOFFICINE-ELETTRAUTO
fdb41812-fc81-46fe-a910-7fe22f8f3c56,"",ZAPPA S.R.L.,VIA MONTE BIANCO,www.officinezappa.it,info@officinezappa.it ,0362/623613,"","","","","","",N Non Domestica 19 : CARROZZERIE-AUTOFFICINE-ELETTRAUTO
c036f5be-8019-4371-a10c-676e48752080,"",NEGOZIO DI MOTO DI MALBERTI MARZIO CESARE,VIA DANTE,www.malbertimotors.com,amministrazione@malbertimotors.com,0362/621516,"","","","","","",N Non Domestica 06 : ESPOSIZIONI-AUTOSALONI
91863d17-dab3-41a0-a341-0f6bedc27d99,"",LINEAOTTO SAS,VIA NUOVA VALASSINA,www.lineaotto.com,showroom@lineaotto.com,0362/624003,"","","","","","",N Non Domestica 06 : ESPOSIZIONI-AUTOSALONI
59d84312-14f7-43aa-a4ea-c8ffc6ff5f93,"",OFFICINA WOLKSWAGEN DI PIROLA F.,VIA NUOVA VALASSINA,www.pirola.com,,0362/391811,"","","","","","",N Non Domestica 19 : CARROZZERIE-AUTOFFICINE-ELETTRAUTO
0e82ecfc-fd6c-4653-a01a-079c78be0670,"",FALEGNAMERIA DI PULICI GABRIELE,VIA TAGLIABUE,www.pulicigabriele.it,info@pulicigabriele.it,0362/621043,"","","","","","",N Non Domestica 18 : ATTIVITA' ARTIGIANALI (BOTTEGHE:FALEGNAME-...)
dfd9074a-390c-433a-9866-4201b6bb05e6,"",SOMASCHINI MOTO SAS,VIA GABELLINI,www.somaschinimoto.it, info@somaschinimoto.it,0362/622204,"","","","","","",N Non Domestica 19 : CARROZZERIE-AUTOFFICINE-ELETTRAUTO
5e639146-8c1a-446f-87ec-140be154f894,"",ASST DI MONZA,VIA FOSCOLO,www.asst-monza.it,protocollo@pec.hsgerardo.org,039 2331,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
b2c82c28-4bb8-44b5-8b87-29ee875b4762,"",OBIETTIVO SICUREZZA SRL,VIA VOLTA,www.obiettivosicurezzasrl.it,,0362/306608,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
a0739975-093a-44c5-b54d-a9ff7b147830,"",INNOPHARMA SRL,VIA LAVORATORI AUTOBIAN,www.innopharma.it,,0362/573128,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
aa9a9c9d-0ed4-46e3-92f3-2275594a30b2,"",MAXI GOMME & C. SNC DI PRESTI FILI PPO MASSIM,VIA DEGLI ARTIGIANI,www.maxigomme.it,maxi-gomme@libero.it,0362/308905,"","","","","","",N Non Domestica 19 : CARROZZERIE-AUTOFFICINE-ELETTRAUTO
7385ed20-9e3c-4c0b-9452-59b74e7e6ead,"",LA VETRINA SRL,VIA DEL GUADO,www.lavetrinasrl.com,info@lavetrinasrl.com ,0362/302613,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
051b6121-123f-48e4-8109-ef31a05d4b04,"",PAV LINE SRL,VIA DEL GUADO,www.pavline.com, info@pavline.com,"0362/331866
0362/308776","","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
2d580430-93f2-4daf-9280-c6fbfd862c22,"",MAURI BUS SYSTEM SRL,VIA CARAVAGGIO,www.mauri-bus.it,info.mauri@mauri-bus.it,0362/626247,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
49c22c69-3a1c-47b4-8d65-fd4c99445886,"",R & S ISOLAMENTI SRL,VIA XX SETTEMBRE,www.rsisolamenti.it,info@rsisolamenti.com,"0362/625995
348/3015071","","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
1aef40ef-ee02-4f71-8a19-593823abae94,"",GRAPHOKEM SPA,VIA DEL COMMERCIO,,,0362/63631,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
e6106a24-be01-4dd8-bfab-0bb4295a7eee,"",TECNOSON INSONORIZZAZIONI SRL,VIA CARAVAGGIO,www.tecnoson.it,assistenza@rccomponenti.it,0362/302142,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
9f62af6c-23cc-42c4-a187-0bf43b030ee2,"",ECOLINE SRL,VIA FORLANINI,,,0362/1785660,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
298fc1d5-c4db-4daf-8b75-0086877b80f8,"",CHRISTOFERR METALSTAR ESPANA SRL,VIA EDISON,,,,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
216cf343-3b98-423f-9433-ae665cd2c395,"",NEW CONSULTING TRADE SRL,VIA GIORDANO,www.newconsultingsrl.it,corsi@newconsultingcorsi.it,075/9149385,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
1ac37bf7-6d59-440a-9420-23a628bad30c,"",ALPHASAR SRL,VIA LEONCAVALLO,www.alphasar.it,pensotti@alphasar.net,0362/305805,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
f05c3752-d425-42c7-aebc-84f7e2d84446,"",ODEL SPA,VIA LAVORATORI AUTOBIAN,www.odelxray.eu,info@odelwray.eu,0362/301064,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
4c0fbfa2-a95e-464f-a9bc-0c730e8caa5b,"",TAL INTERNATIONAL CONTAINER SRL,VIA GARIBALDI,,,,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
04409a42-4176-4641-bfd1-15986febf9f1,"",DAYTONA SAS,VIA GARIBALDI,,daytonatre@tiscali.it,0362/620220,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
cb91365d-a819-4623-99d3-6c248fe5e112,"",LA VETRO ARTE SRL,VIA NOVATI,,,0362/308959,"","","","","","",N Non Domestica 21 : ATT. ARTIGIANALI PRODUZIONE BENI SPECIFICI
7a686b2c-4533-49f5-8434-f233e8f98aae,"",PIAZZA CASTELLO SRL,PIAZZA MARTIRI DI FOSSOLI,,,0432/889365,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
dd0d7855-d6e9-433a-89af-b22ccf5e0139,"",DA.MA. SNCN DI D. DESICOT  & M. ZURIGO,STR BARAGGIOLA,,,0362/226495,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
943dae8d-ff25-4342-862c-eade61a93f88,"",AQAS SRL SERVIZI PER LE IMPRESE,VIA POZZO ANTICO,,,0362/638862,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
553674db-be6b-46b9-ace6-50a9947a8d81,"",OTTICA BAJ,VIA CANONICO VILLA,www.otticabaj.net, otticabaj@tiscali.it,0362/500986,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
9e8fc38f-38e2-4549-a904-b57c09558661,"",GE.CO. CONDOTTE SRL,VIA GARIBALDI,,,,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
e7be4d53-a4ba-479c-b1b6-ab335b765103,"",CONSORZIO DRL,PIAZZA CONCILIAZIONE,www.codebri.mb.it,formazione@codebri.mb.it ,0362/39171,"","","","","","",N Non Domestica 12 : BANCHE E ISTITUTI DI CREDITO
9bffb99b-f3c9-4169-8070-98834055efec,"",NEGOZIO DI ARTICOLI PER LA PITTURA DI SAINI PIETRO MAURO,VIA VERRI,,,0362/627258,"","","","","","",N Non Domestica 13 : NEGOZI (ABBIGLIAMENTO-CALZATURE-LIBRERIE-...)
538163e2-286b-40c2-8822-f9b105650326,"",MILANI S.N.C. DI MILANI ALBERTO E MASSIMO,VIA MONS. CATTANEO,www.milanimacchinepercucire.com,milanisnc@tin.it,0362/621755,"","","","","","",N Non Domestica 13 : NEGOZI (ABBIGLIAMENTO-CALZATURE-LIBRERIE-...)
4ff88878-6b82-4348-956e-b2b714436b98,"",F.LLI GALIMBERTI DI GALIMBERTI ROBERTO E STEFANIA,CORSO ITALIA,,,0362/300958,"","","","","","",N Non Domestica 13 : NEGOZI (ABBIGLIAMENTO-CALZATURE-LIBRERIE-...)
