N. PROG. INVENT.,TIPOLOGIA DI BENE,DENOMINAZIONE,DESCRIZIONE,INDIRIZZO,LOCALITA',FG,MAPPALE,SUB
36,PAA2 400 - Fabbricati (patrimonio indisponibile),caserma CC alloggio PT S1,alloggio di servizio ,Nassirya Caduti di  ,DESIO,53,267,2
37,PAA2 400 - Fabbricati (patrimonio indisponibile),caserma CC alloggio PT S1,alloggio di servizio ,Nassirya Caduti di  ,DESIO,53,267,3
38,PAA2 400 - Fabbricati (patrimonio indisponibile),caserma CC alloggio sub 4 ,alloggio di servizio ,Nassirya Caduti di  ,DESIO,53,267,4
39,PAA2 400 - Fabbricati (patrimonio indisponibile),caserma CC alloggio P1 S1,alloggio di servizio ,Nassirya Caduti di  ,DESIO,53,267,5
40,PAA2 400 - Fabbricati (patrimonio indisponibile),caserma CC alloggio P1 S1,alloggio di servizio ,Nassirya Caduti di  ,DESIO,53,267,6
41,PAA2 400 - Fabbricati (patrimonio indisponibile),caserma CC alloggio P2  S1,alloggio di servizio ,Nassirya Caduti di  ,DESIO,53,267,8
42,PAA2 400 - Fabbricati (patrimonio indisponibile),caserma CC alloggio P1 S1,alloggio di servizio ,Nassirya Caduti di  ,DESIO,53,267,7
43,PAA2 400 - Fabbricati (patrimonio indisponibile),caserma CC alloggio P2 S1,alloggio di servizio ,Nassirya Caduti di  ,DESIO,53,267,9
44,PAA2 400 - Fabbricati (patrimonio indisponibile),caserma CC alloggio P2 S1,alloggio di servizio ,Nassirya Caduti di  ,DESIO,53,267,10
45,PAA2 400 - Fabbricati (patrimonio indisponibile),box auto palazzina CC,box a servizio palzzina alloggi,Nassirya Caduti di  ,DESIO,53,267,11
46,PAA2 400 - Fabbricati (patrimonio indisponibile),box auto palazzina  CC,box a servizio palzzina alloggi,Nassirya Caduti di  ,DESIO,53,267,12
47,PAA2 400 - Fabbricati (patrimonio indisponibile),box auto palazzina CC,box a servizio palzzina alloggi,Nassirya Caduti di  ,DESIO,53,267,13
48,PAA2 400 - Fabbricati (patrimonio indisponibile),box auto palazzina CC,box a servizio palzzina alloggi,Nassirya Caduti di  ,DESIO,53,267,14
49,PAA2 400 - Fabbricati (patrimonio indisponibile),box auto palazzina CC,box a servizio palzzina alloggi,Nassirya Caduti di  ,DESIO,53,267,15
50,PAA2 400 - Fabbricati (patrimonio indisponibile),box auto palazzina CC,box a servizio palzzina alloggi,Nassirya Caduti di  ,DESIO,53,267,17
51,PAA2 400 - Fabbricati (patrimonio indisponibile),box auto palazzina CC,box a servizio palzzina alloggi,Nassirya Caduti di  ,DESIO,53,267,16
52,PAA2 400 - Fabbricati (patrimonio indisponibile),box auto palazzina CC,box a servizio palzzina alloggi,Nassirya Caduti di  ,DESIO,53,267,18
53,PAA2 400 - Fabbricati (patrimonio indisponibile),box auto palazzina CC,box a servizio palzzina alloggi,Nassirya Caduti di  ,DESIO,53,267,19
54,PAA2 400 - Fabbricati (patrimonio indisponibile),via Matteotti 32,abitazione,Matteotti 32 ,DESIO,24,168,17
75,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio ERP di via Paganini 10,cabina enel inserita del fabbricato ERP,Paganini 10 ,DESIO,50,202,14
76,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio ERP di via Paganini 10,box auto,Paganini 10 ,DESIO,50,203,3
112,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio ERP di via Paganini 10,box auto,Paganini 10 ,DESIO,50,203,4
126,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio ERP di via Paganini 10,box auto,Paganini 10 ,DESIO,50,202,16
127,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio ERP di via Paganini 10,box auto,Paganini 10 ,DESIO,50,202,17
128,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio ERP di via Paganini 10,box auto,Paganini 10 ,DESIO,50,202,15
129,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio ERP di via Paganini 10,box auto,Paganini 10 ,DESIO,50,203,1
130,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio ERP di via Paganini 10,box auto,Paganini 10 ,DESIO,50,203,2
131,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio ERP di via Paganini 10,box auto,Paganini 10 ,DESIO,50,203,5
132,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio ERP di via Paganini 10,box auto,Paganini 10 ,DESIO,50,203,6
133,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio ERP di via Pananini 10,abitazione ,Paganini 10 ,DESIO,50,202,2
134,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio ERP di via Pananini 10,abitazione ,Paganini 10 ,DESIO,50,202,4
135,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio ERP di via Pananini 10,abitazione ,Paganini 10 ,DESIO,50,202,5
136,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio ERP di via Pananini 10,abitazione ,Paganini 10 ,DESIO,50,202,6
137,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio ERP di via Pananini 10,abitazione ,Paganini 10 ,DESIO,50,202,7
138,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio ERP di via Pananini 10,abitazione ,Paganini 10 ,DESIO,50,202,10
139,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio ERP di via Pananini 10,abitazione ,Paganini 10 ,DESIO,50,202,8
140,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio ERP di via Pananini 10,abitazione ,Paganini 10 ,DESIO,50,202,9
141,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio ERP di via Pananini 10,abitazione ,Paganini 10 ,DESIO,50,202,12
142,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio ERP di via Pananini 10,abitazione ,Paganini 10 ,DESIO,50,202,11
143,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio ERP di via Pananini 10,abitazione ,Paganini 10 ,DESIO,50,202,13
144,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio ERP di via Pananini 10,abitazione ,Paganini 10 ,DESIO,50,202,3
145,PAA2 400 - Fabbricati (patrimonio indisponibile),abitazione in villetta a schiera,abitazione ,Amendola  ,DESIO,22,69,703
146,PAA2 400 - Fabbricati (patrimonio indisponibile),abitazione in villetta a schiera,abitazione ,Amendola  ,DESIO,22,69,702
147,PAA2 400 - Fabbricati (patrimonio indisponibile),immobile ERP via Matteotti 59,locale di deposito,Matteotti 59 ,DESIO,37,10,18
148,PAA2 400 - Fabbricati (patrimonio indisponibile),immobile ERP via Matteotti 59,abitazione per anziani,Matteotti 59 ,DESIO,37,10,2
149,PAA2 400 - Fabbricati (patrimonio indisponibile),immobile ERP via Matteotti 59,abitazione per anziani,Matteotti 59 ,DESIO,37,10,3
150,PAA2 400 - Fabbricati (patrimonio indisponibile),immobile ERP via Matteotti 59,abitazione per anziani,Matteotti 59 ,DESIO,37,10,4
151,PAA2 400 - Fabbricati (patrimonio indisponibile),immobile ERP via Matteotti 59,abitazione per anziani,Matteotti 59 ,DESIO,37,10,5
152,PAA2 400 - Fabbricati (patrimonio indisponibile),immobile ERP via Matteotti 59,abitazione per anziani,Matteotti 59 ,DESIO,37,10,6
153,PAA2 400 - Fabbricati (patrimonio indisponibile),immobile ERP via Matteotti 59,abitazione per anziani,Matteotti 59 ,DESIO,37,10,7
154,PAA2 400 - Fabbricati (patrimonio indisponibile),immobile ERP via Matteotti 59,abitazione per anziani,Matteotti 59 ,DESIO,37,10,8
155,PAA2 400 - Fabbricati (patrimonio indisponibile),immobile ERP via Matteotti 59,abitazione per anziani,Matteotti 59 ,DESIO,37,10,9
156,PAA2 400 - Fabbricati (patrimonio indisponibile),immobile ERP via Matteotti 59,abitazione per anziani,Matteotti 59 ,DESIO,37,10,10
157,PAA2 400 - Fabbricati (patrimonio indisponibile),immobile ERP via Matteotti 59,abitazione per anziani,Matteotti 59 ,DESIO,37,10,11
158,PAA2 400 - Fabbricati (patrimonio indisponibile),immobile ERP via Matteotti 59,abitazione per anziani,Matteotti 59 ,DESIO,37,10,12
159,PAA2 400 - Fabbricati (patrimonio indisponibile),immobile ERP via Matteotti 59,abitazione per anziani,Matteotti 59 ,DESIO,37,10,16
160,PAA2 400 - Fabbricati (patrimonio indisponibile),immobile ERP via Matteotti 59,abitazione per anziani,Matteotti 59 ,DESIO,37,10,13
161,PAA2 400 - Fabbricati (patrimonio indisponibile),immobile ERP via Matteotti 59,abitazione per anziani,Matteotti 59 ,DESIO,37,10,14
162,PAA2 400 - Fabbricati (patrimonio indisponibile),immobile ERP via Matteotti 59,abitazione per anziani,Matteotti 59 ,DESIO,37,10,15
163,PAA2 400 - Fabbricati (patrimonio indisponibile),immobile ERP via Matteotti 59,abitazione per anziani,Matteotti 59 ,DESIO,37,10,17
164,PAA2 400 - Fabbricati (patrimonio indisponibile),"immobile ERP via Gioia, 21",abitazione inserita in un edificio a corte,Gioia Flavio 21 ,DESIO,37,556,701
165,PAA2 400 - Fabbricati (patrimonio indisponibile),"immobile ERP via Prati, 77",abitazione ,Prati 77 ,DESIO,54,15,6
167,PAA2 400 - Fabbricati (patrimonio indisponibile),"immobile ERP via Prati, 77",abitazione ,Prati 77 ,DESIO,54,15,11
168,PAA2 400 - Fabbricati (patrimonio indisponibile),"immobile ERP via Prati, 77",abitazione ,Prati 77 ,DESIO,54,15,12
169,PAA2 400 - Fabbricati (patrimonio indisponibile),"immobile ERP via Prati, 77",abitazione ,Prati 77 ,DESIO,54,15,13
170,PAA2 400 - Fabbricati (patrimonio indisponibile),"immobile ERP via Prati, 77",abitazione ,Prati 77 ,DESIO,54,15,14
171,PAA2 400 - Fabbricati (patrimonio indisponibile),"immobile ERP via Prati, 77",abitazione ,Prati 77 ,DESIO,54,15,15
172,PAA2 400 - Fabbricati (patrimonio indisponibile),"immobile ERP via Prati, 77 ",abitazione ,Prati 77 ,DESIO,54,15,19
173,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a edificio ERP,box auto,Volta Alessandro 37 A,DESIO,25,369,30
174,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a edificio ERP,box auto,Volta Alessandro 37 A,DESIO,25,369,31
175,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a edificio ERP,box auto,Volta Alessandro 37 A,DESIO,25,369,32
176,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a edificio ERP,box auto,Volta Alessandro 37 A,DESIO,25,369,33
177,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a edificio ERP,box auto,Volta Alessandro 37 A,DESIO,25,369,34
178,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a edificio ERP,box auto,Volta Alessandro 37 A,DESIO,25,369,35
179,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a edificio ERP,box auto,Volta Alessandro 37 A,DESIO,25,370,14
180,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a edificio ERP,box auto,Volta Alessandro 37 A,DESIO,25,370,15
181,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a edificio ERP,box auto,Volta Alessandro 37 A,DESIO,25,370,16
182,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a edificio ERP,box auto,Volta Alessandro 37 A,DESIO,25,370,17
183,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a edificio ERP,box auto,Volta Alessandro 37 A,DESIO,25,370,18
184,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a edificio ERP,box auto,Volta Alessandro 37 A,DESIO,25,369,36
185,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a immobile ERP,abitazione,Volta Alessandro 37 A,DESIO,25,370,2
186,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a immobile ERP,abitazione,Volta Alessandro 37 A,DESIO,25,370,3
187,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a immobile ERP,abitazione,Volta Alessandro 37 A,DESIO,25,370,4
188,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a immobile ERP,abitazione,Volta Alessandro 37 A,DESIO,25,370,5
189,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a immobile ERP,abitazione,Volta Alessandro 37 A,DESIO,25,370,6
190,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a immobile ERP,abitazione,Volta Alessandro 37 A,DESIO,25,370,7
191,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a immobile ERP,abitazione,Volta Alessandro 37 A,DESIO,25,370,10
192,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a immobile ERP,abitazione,Volta Alessandro 37 A,DESIO,25,370,8
193,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a immobile ERP,abitazione,Volta Alessandro 37 A,DESIO,25,370,9
194,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a immobile ERP,abitazione,Volta Alessandro 37 A,DESIO,25,370,11
195,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a immobile ERP,abitazione,Volta Alessandro 37 A,DESIO,25,370,12
196,PAA2 400 - Fabbricati (patrimonio indisponibile),via Volta 37/a immobile ERP,abitazione,Volta Alessandro 37 A,DESIO,25,370,13
199,PAA2 400 - Fabbricati (patrimonio indisponibile),via Mons. Cattaneo 17 abitazioni ERP,abitazione,Mons. Cattaneo 17 ,DESIO,24,163,1
200,PAA2 400 - Fabbricati (patrimonio indisponibile),via Mons. Cattaneo 17 abitazioni ERP,abitazione,Mons. Cattaneo 17 ,DESIO,24,163,2
201,PAA2 400 - Fabbricati (patrimonio indisponibile),via Mons. Cattaneo 17 abitazioni ERP,abitazione,Mons. Cattaneo 17 ,DESIO,24,163,3
202,PAA2 400 - Fabbricati (patrimonio indisponibile),via Mons. Cattaneo 17 abitazioni ERP,abitazione,Mons. Cattaneo 17 ,DESIO,24,163,4
203,PAA2 400 - Fabbricati (patrimonio indisponibile),via Mons. Cattaneo 17 abitazioni ERP,abitazione,Mons. Cattaneo 17 ,DESIO,24,163,5
204,PAA2 400 - Fabbricati (patrimonio indisponibile),via Mons. Cattaneo 17 abitazioni ERP,abitazione,Mons. Cattaneo 17 ,DESIO,24,163,6
205,PAA2 400 - Fabbricati (patrimonio indisponibile),via Mons. Cattaneo 17 abitazioni ERP,abitazione,Mons. Cattaneo 17 ,DESIO,24,163,7
206,PAA2 400 - Fabbricati (patrimonio indisponibile),via Mons. Cattaneo 17 abitazioni ERP,abitazione,Mons. Cattaneo 17 ,DESIO,24,163,9
207,PAA2 400 - Fabbricati (patrimonio indisponibile),via Mons. Cattaneo 17 abitazioni ERP,abitazione,Mons. Cattaneo 17 ,DESIO,24,163,8
208,PAA2 400 - Fabbricati (patrimonio indisponibile),via Mons. Cattaneo 17 abitazioni ERP,abitazione,Mons. Cattaneo 17 ,DESIO,24,163,12
209,PAA2 400 - Fabbricati (patrimonio indisponibile),via Mons. Cattaneo 17 abitazioni ERP,abitazione,Mons. Cattaneo 17 ,DESIO,24,163,11
210,PAA2 400 - Fabbricati (patrimonio indisponibile),via Mons. Cattaneo 17 abitazioni ERP,abitazione,Mons. Cattaneo 17 ,DESIO,24,163,14
211,PAA2 400 - Fabbricati (patrimonio indisponibile),via Mons. Cattaneo 17 abitazioni ERP,abitazione,Mons. Cattaneo 17 ,DESIO,24,163,15
225,PAA2 400 - Fabbricati (patrimonio indisponibile),Via Rosselli 4 edificio ERP,abitazione,Rosselli 4 ,DESIO,22,70,708
226,PAA2 400 - Fabbricati (patrimonio indisponibile),Via Rosselli 4 edificio ERP,abitazione,Rosselli 4 ,DESIO,22,70,709
227,PAA2 400 - Fabbricati (patrimonio indisponibile),Via Rosselli 4 edificio ERP,abitazione,Rosselli 4 ,DESIO,22,70,710
229,PAA2 400 - Fabbricati (patrimonio indisponibile),Via Rosselli 4 edificio ERP,abitazione,Rosselli 4 ,DESIO,22,70,711
230,PAA2 400 - Fabbricati (patrimonio indisponibile),Via Rosselli 4 edificio ERP,abitazione,Rosselli 4 ,DESIO,22,70,712
231,PAA2 400 - Fabbricati (patrimonio indisponibile),Via Rosselli 4 edificio ERP,abitazione,Rosselli 4 ,DESIO,22,70,727
232,PAA2 400 - Fabbricati (patrimonio indisponibile),Via Rosselli 4 edificio ERP,abitazione,Rosselli 4 ,DESIO,22,70,730
233,PAA2 400 - Fabbricati (patrimonio indisponibile),Via Rosselli 4 edificio ERP,abitazione,Rosselli 4 ,DESIO,22,70,736
235,PAA2 400 - Fabbricati (patrimonio indisponibile),Via Rosselli 4 edificio ERP,abitazione,Rosselli 4 ,DESIO,22,70,737
236,PAA2 400 - Fabbricati (patrimonio indisponibile),Via Rosselli 4 edificio ERP,abitazione,Rosselli 4 ,DESIO,22,70,738
237,PAA2 400 - Fabbricati (patrimonio indisponibile),Via Rosselli 4 edificio ERP,abitazione,Rosselli 4 ,DESIO,22,70,731
238,PAA2 400 - Fabbricati (patrimonio indisponibile),Via Rosselli 4 edificio ERP,abitazione,Rosselli 4 ,DESIO,22,70,732
240,PAA2 400 - Fabbricati (patrimonio indisponibile),Via Rosselli 4 edificio ERP,abitazione,Rosselli 4 ,DESIO,22,70,734
241,PAA2 400 - Fabbricati (patrimonio indisponibile),Via Rosselli 4 edificio ERP,abitazione,Rosselli 4 ,DESIO,22,70,739
242,PAA2 400 - Fabbricati (patrimonio indisponibile),Via Rosselli 4 edificio ERP,abitazione,Rosselli 4 ,DESIO,22,70,740
243,PAA2 400 - Fabbricati (patrimonio indisponibile),Via Rosselli 4 edificio ERP,abitazione,Rosselli 4 ,DESIO,22,70,741
244,PAA2 400 - Fabbricati (patrimonio indisponibile),Via Rosselli 4 edificio ERP,abitazione,Rosselli 4 ,DESIO,22,70,733
245,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25 edificio ERP",abitazione,Pallavicini 25 ,DESIO,22,70,701
246,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25 edificio ERP",abitazione,Pallavicini 25 ,DESIO,22,70,702
247,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25 edificio ERP",abitazione,Pallavicini 25 ,DESIO,22,70,703
249,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25 edifici ERP",abitazione,Pallavicini 25 ,DESIO,22,70,704
250,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25 edifici ERP",abitazione,Pallavicini 25 ,DESIO,22,70,705
251,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25 edifici ERP",abitazione,Pallavicini 25 ,DESIO,22,70,725
252,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25 edifici ERP",abitazione,Pallavicini 25 ,DESIO,22,70,707
253,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25 edifici ERP",abitazione,Pallavicini 25 ,DESIO,22,70,714
254,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25 edifici ERP",abitazione,Pallavicini 25 ,DESIO,22,70,715
255,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25 edifici ERP",abitazione,Pallavicini 25 ,DESIO,22,70,719
256,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25 edifici ERP",abitazione,Pallavicini 25 ,DESIO,22,70,721
257,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25 edifici ERP",abitazione,Pallavicini 25 ,DESIO,22,70,720
258,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25 edifici ERP",abitazione,Pallavicini 25 ,DESIO,22,70,722
259,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25 edifici ERP",abitazione,Pallavicini 25 ,DESIO,22,70,716
260,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25 edifici ERP",abitazione,Pallavicini 25 ,DESIO,22,70,718
261,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25 edifici ERP",abitazione,Pallavicini 25 ,DESIO,22,70,723
262,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Pallavicini, 25 edifici ERP",abitazione,Pallavicini 25 ,DESIO,22,70,724
266,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 4 box auto,box auto,Rosselli 4 ,DESIO,22,254,702
267,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 4 box auto,box auto,Rosselli 4 ,DESIO,22,254,703
268,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 4 box auto,box auto,Rosselli 4 ,DESIO,22,254,704
269,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 4 box auto,box auto,Rosselli 4 ,DESIO,22,254,705
270,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 4 box auto,box auto,Rosselli 4 ,DESIO,22,254,706
271,PAA2 400 - Fabbricati (patrimonio indisponibile),via Rosselli 4 box auto,box auto,Rosselli 4 ,DESIO,22,254,707
